latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-24.403,-59.357,312.7,1,1,2020-09-01,0240,Terra,MODIS,85,6.0NRT,286.3,14,N
-24.404,-59.367,312.9,1,1,2020-09-01,0240,Terra,MODIS,86,6.0NRT,285.5,14.1,N
-24.873,-58.562,307,1,1,2020-09-01,0240,Terra,MODIS,70,6.0NRT,283.6,10.6,N
-25.389,-57.783,300.2,1.1,1,2020-09-01,0240,Terra,MODIS,22,6.0NRT,282.5,6.9,N
-26.996,-59.04,306.7,1,1,2020-09-01,0240,Terra,MODIS,69,6.0NRT,274.9,10.3,N
-27.005,-59.038,312.5,1,1,2020-09-01,0240,Terra,MODIS,85,6.0NRT,276.7,14.1,N
-27.176,-54.401,303.4,1.1,1.1,2020-09-01,1340,Terra,MODIS,56,6.0NRT,283.6,6.4,D
-27.277,-54.962,302.7,1.2,1.1,2020-09-01,1340,Terra,MODIS,53,6.0NRT,284.2,5.7,D
-27.168,-55.661,301.5,1.3,1.1,2020-09-01,1340,Terra,MODIS,47,6.0NRT,287.8,3.9,D
-27.909,-54.932,306.3,1.2,1.1,2020-09-01,1340,Terra,MODIS,63,6.0NRT,288.9,7.2,D
-28.498,-56.79,320.1,1.4,1.2,2020-09-01,1340,Terra,MODIS,80,6.0NRT,288.4,28,D
-37.809,-58.152,314.4,1.2,1.1,2020-09-01,1340,Terra,MODIS,75,6.0NRT,281.4,18.2,D
-37.914,-57.664,321.6,1.1,1.1,2020-09-01,1340,Terra,MODIS,76,6.0NRT,280.5,24,D
-25.949,-53.94,312.2,1.1,1.1,2020-09-01,1340,Terra,MODIS,48,6.0NRT,292.8,8.2,D
-25.209,-58.543,329.2,2.2,1.4,2020-09-01,1340,Terra,MODIS,86,6.0NRT,291,78.6,D
-26.231,-54.347,310.2,1.1,1.1,2020-09-01,1340,Terra,MODIS,58,6.0NRT,298.6,7.6,D
-26.233,-54.335,318.3,1.1,1.1,2020-09-01,1340,Terra,MODIS,76,6.0NRT,298.9,15.6,D
-40.598,-63.543,300.9,2,1.4,2020-09-01,1345,Terra,MODIS,40,6.0NRT,285.7,14.1,D
-37.782,-70.558,320.9,2.5,1.5,2020-09-01,1520,Terra,MODIS,80,6.0NRT,285.4,74.7,D
-37.773,-70.564,310.3,2.5,1.5,2020-09-01,1520,Terra,MODIS,70,6.0NRT,285.3,38.2,D
-37.787,-70.564,310.6,2.5,1.5,2020-09-01,1520,Terra,MODIS,70,6.0NRT,284.5,39.6,D
-24.439,-65.073,332.9,1.2,1.1,2020-09-02,1420,Terra,MODIS,87,6.0NRT,295.8,36.9,D
-23.146,-64.382,316,1.2,1.1,2020-09-02,1420,Terra,MODIS,71,6.0NRT,290.7,15.2,D
-24.162,-59.672,315.5,1.1,1.1,2020-09-02,1420,Terra,MODIS,68,6.0NRT,292.3,13.2,D
-23.482,-65.209,324.8,1.3,1.1,2020-09-02,1420,Terra,MODIS,77,6.0NRT,301.9,21.1,D
-23.482,-65.204,323.1,1.3,1.1,2020-09-02,1420,Terra,MODIS,64,6.0NRT,301.9,18.1,D
-23.815,-64.301,323.1,1.1,1.1,2020-09-02,1420,Terra,MODIS,80,6.0NRT,293.6,22.2,D
-23.82,-64.297,313.1,1.1,1.1,2020-09-02,1420,Terra,MODIS,53,6.0NRT,292.9,11.7,D
-24.085,-64.665,316.4,1.2,1.1,2020-09-02,1420,Terra,MODIS,74,6.0NRT,293.1,13.4,D
-24.442,-62.822,308.8,1,1,2020-09-02,1420,Terra,MODIS,54,6.0NRT,292.8,5.6,D
-25.088,-58.548,325.2,1.3,1.1,2020-09-02,1420,Terra,MODIS,82,6.0NRT,289.5,27.3,D
